=X=X=X=X=X=X=X=X=X=X= FICHERO CSV =X=X=X=X=X=X=X=X=X=

 ============ LISTA EVENTOS GRATIS ===========

 Total: 768

(11951201) Titulo: 20 a tocar, Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE CERECINOS
(11942368) Titulo: 3 cromosomas de Janira Le�n, Precio: 0, Gratis: true, Direccion: CP: 28029, AVENIDA MONFORTE DE LEMOS
(11958859) Titulo: 4 patas tiene un cuento, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO COLOMBIA
(11932870) Titulo: 5 Historias, Precio: 0, Gratis: true, Direccion: CP: 28032, CALLE VILLARDONDIEGO
(11948971) Titulo: 58 Premio Reina Sof�a., Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO COLOMBIA
(11942319) Titulo: 8M en red: qui�n es qui�n en los Espacios de Igualdad, Precio: 0, Gratis: true, Direccion: CP: 28015, CALLE ANDRES MELLADO
(11913908) Titulo: Abriendo el coraz�n: amor, compasi�n, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERN�N N��EZ
(11956706) Titulo: �frica y Espa�a II: de la Edad Media al siglo XIX, Precio: 0, Gratis: true, Direccion: CP: 28031, CALLE ZAZUAR
(11942100) Titulo: Aguas subterr�neas, Precio: 0, Gratis: true, Direccion: CP: 28032, BULEVAR INDALECIO PRIETO
(11951858) Titulo: Aires del Ayer, Precio: 0, Gratis: true, Direccion: CP: 28024, CARRETERA BOADILLA DEL MONTE
(11946443) Titulo: Airu - Vicalvaro, Precio: 0, Gratis: true, Direccion: CP: 28032, PASEO POLIDEPORTIVO
(11944531) Titulo: Al encuentro de Rafael de Le�n, Precio: 0, Gratis: true, Direccion: CP: 28035, CALLE ISLA DE ONS
(11964436) Titulo: Alas al viento, Precio: 0, Gratis: true, Direccion: CP: 28032, BULEVAR INDALECIO PRIETO
(11880251) Titulo: Alcoba Nupcial, Precio: 0, Gratis: true, Direccion: CP: 28034, PLAZA ISLAS AZORES
(11914604) Titulo: Alfabetizaci�n digital, Precio: 0, Gratis: true, Direccion: CP: 28007, CALLE ARREGUI Y ARUEJ
(11965950) Titulo: Alfabetizaci�n digital, Precio: 0, Gratis: true, Direccion: CP: 28007, CALLE ARREGUI Y ARUEJ
(11939059) Titulo: Alicia, Precio: 0, Gratis: true, Direccion: CP: 28044, CALLE EUGENIA DE MONTIJO
(11937221) Titulo: Alicia, Precio: 0, Gratis: true, Direccion: CP: 28011, CALLE MARIA DEL CARMEN
(11957573) Titulo: Alicia, Precio: 0, Gratis: true, Direccion: CP: 28017, CALLE SANTA FELICIDAD
(11964818) Titulo: Alicia en el pa�s de las maravillas, Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(11937608) Titulo: Alzheimer precoz:  importancia del diagn�stico precoz en la enfermedad y terapias evolutivas, Precio: 0, Gratis: true, Direccion: CP: 28029, AVENIDA MONFORTE DE LEMOS
(11965440) Titulo: Amanece que no es mucho, Precio: 0, Gratis: true, Direccion: CP: 28022, AVENIDA S�PTIMA
(11776601) Titulo: Amar la existencia, Precio: 0, Gratis: true, Direccion: CP: 28022, CALLE BOLTA�A
(11941348) Titulo: Amigos del barrio, Precio: 0, Gratis: true, Direccion: CP: 28047, CALLE CASTROSERNA
(11957453) Titulo: Amor y locura, Precio: 0, Gratis: true, Direccion: CP: 28022, AVENIDA S�PTIMA
(11940786) Titulo: Ana Mar�a Puente 'La Pelirroja', Precio: 0, Gratis: true, Direccion: CP: 28024, CALLE FUENTE DEL TIRO
(11900323) Titulo: An�lisis de aguas (dentro del Programa de Intervenci�n por la Biodiversidad), Precio: 0, Gratis: true, Direccion: CP: 28011, PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO)
(11958157) Titulo: Andr�s Ca�adas, Precio: 0, Gratis: true, Direccion: CP: Sin datos,  
(11938932) Titulo: Animales, Precio: 0, Gratis: true, Direccion: CP: 28019, CALLE SOLDADO JOSE MARIA REY
(11906762) Titulo: Ant�n Cort�s Tr�o. Soniquete (San Blas - Canillejas), Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(11965041) Titulo: Antonio Lo Riso, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO COLOMBIA
(11780613) Titulo: Aprende a bailar Marinera, Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(11961462) Titulo: Aprende a identificar las mariposas de Madrid, Precio: 0, Gratis: true, Direccion: CP: 28011, PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO)
(11961459) Titulo: Aprende a identificar las mariposas de Madrid, Precio: 0, Gratis: true, Direccion: CP: 28011, PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO)
(11961461) Titulo: Aprende a identificar las mariposas de Madrid, Precio: 0, Gratis: true, Direccion: CP: 28011, PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO)
(11900355) Titulo: Aprende a identificar las mariposas de Madrid, Precio: 0, Gratis: true, Direccion: CP: 28011, PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO)
(11724768) Titulo: �rboles de El Retiro, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERNAN NU�EZ
(11904088) Titulo: �rboles notables del Vivero, Precio: 0, Gratis: true, Direccion: CP: 28011, PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO)
